Year,Team,offense_completion_percentage,offense_total_yards_gained_pass,offense_total_yards_gained_run,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,offense_total_air_yards,offense_ave_air_yards,offense_total_yac,offense_ave_yac,offense_n_plays_pass,offense_n_plays_run,offense_n_interceptions,offense_n_fumbles_lost_pass,offense_n_fumbles_lost_run,offense_total_epa_pass,offense_total_epa_run,offense_ave_epa_pass,offense_ave_epa_run,offense_total_wpa_pass,offense_total_wpa_run,offense_ave_wpa_pass,offense_ave_wpa_run,offense_success_rate_pass,offense_success_rate_run,defense_completion_percentage,defense_total_yards_gained_pass,defense_total_yards_gained_run,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_total_air_yards,defense_ave_air_yards,defense_total_yac,defense_ave_yac,defense_n_plays_pass,defense_n_plays_run,defense_n_interceptions,defense_n_fumbles_lost_pass,defense_n_fumbles_lost_run,defense_total_epa_pass,defense_total_epa_run,defense_ave_epa_pass,defense_ave_epa_run,defense_total_wpa_pass,defense_total_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,defense_success_rate_pass,defense_success_rate_run,points_scored,points_allowed,wins,losses,ties,score_differential
1999,Arizona Cardinals,0.4774624373956594,2796,1209,4.667779632721203,3.1484375,0,,0,,599,384,28,4,5,-121.97389727479452,-71.1715457873933,-0.2036292108093401,-0.1853425671546698,-3.528762914350427,-2.1968752605435635,-0.0058910900072628,-0.0057210293243321,0.3589315525876458,0.34375,0.5572519083969466,3143,2258,5.998091603053432,4.35067437379576,0,,0,0.0,524,519,17,5,3,-8.64520740624398,4.927996990271672,-0.0164984874164966,0.0094951772452252,-2.161615308436838,-0.336979385837269,-0.0041252200542687,-0.0006492859072008965,0.4217557251908395,0.4142581888246628,245,382,6,10,0,-137
1999,Atlanta Falcons,0.5036630036630036,3317,1176,6.075091575091577,3.195652173913043,0,,11,11.0,546,368,18,7,6,-27.66662907015814,-78.88317319872993,-0.0506714818134763,-0.2143564489095922,-1.867335724872464,-1.882914110327686,-0.0034200288001327,-0.0051166144302382,0.4029304029304029,0.328804347826087,0.5410821643286573,3129,2057,6.270541082164328,4.285416666666667,0,,0,,499,480,11,1,4,25.42130325655263,-22.014322020010333,0.0509444955041136,-0.0458631708750215,-0.3374276321898625,-0.8178697819232783,-0.0006762076797392053,-0.0017038953790068,0.4028056112224448,0.3812500000000001,285,380,5,11,0,-95
1999,Baltimore Ravens,0.4520795660036165,2805,1663,5.072332730560578,4.126550868486352,0,,0,,553,403,18,9,2,-97.07765957212554,-35.46113042879362,-0.1755473048320531,-0.0879928794759146,-2.5542134830765306,-2.126050615893585,-0.0046188308916393,-0.005275559840927,0.3435804701627485,0.369727047146402,0.4949152542372882,2647,1112,4.486440677966103,3.1323943661971834,0,,0,,590,355,19,4,1,-101.96821268890872,-61.295383663376654,-0.1728274791337432,-0.1726630525728921,-2.62881991927214,-1.917301565856074,-0.0044556269818171,-0.0054008494812847,0.3576271186440678,0.3183098591549296,324,277,8,8,0,47
1999,Buffalo Bills,0.5404896421845575,3275,2038,6.167608286252354,4.125506072874495,0,,161,3.9268292682926833,531,494,14,5,6,24.704830897544127,-45.29295301398264,0.0465251052684449,-0.0916861397044184,-0.2687377120460806,-1.0893470347619654,-0.0005060973861508063,-0.0022051559408136,0.4312617702448211,0.3704453441295545,0.4972170686456401,2669,1342,4.951762523191096,3.4147582697201013,0,,182,5.055555555555555,539,393,12,4,5,-82.65620901694936,-70.35566491094615,-0.1533510371371972,-0.1790220481194558,-2.5119085331370767,-2.1430800996856076,-0.0046603126774342,-0.0054531300246453,0.3525046382189238,0.3206106870229007,320,229,11,5,0,91
1999,Carolina Panthers,0.5516129032258065,4144,1484,6.683870967741933,4.2890173410404655,0,,89,4.45,620,346,14,7,7,67.95987819135479,-56.79683160580163,0.1096127067602499,-0.164152692502317,-1.7875927141845651,-1.1761173340911244,-0.0028832140551364,-0.0033991830465061,0.4596774193548387,0.3468208092485548,0.5493197278911566,3519,1871,5.984693877551018,4.351162790697674,0,,103,6.0588235294117645,588,430,15,8,1,29.270054993306783,21.78517495925002,0.0497790050906578,0.0506631975796512,-0.0852391389132023,0.0638790241244398,-0.00014496452196123303,0.00014855587005683615,0.4523809523809523,0.4162790697674418,421,381,8,8,0,40
1999,Chicago Bears,0.5611814345991561,4090,1359,5.752461322081574,3.5483028720626626,0,,508,7.0555555555555545,711,383,20,9,5,-23.424146547430116,-65.94540688207152,-0.0329453537938539,-0.1721812190132416,-1.838303078809093,-1.8680585990259504,-0.0025855176917145,-0.004877437595368,0.4261603375527427,0.3472584856396866,0.5718954248366015,3793,1833,6.197712418300654,4.40625,0,,404,6.121212121212121,612,416,14,7,7,22.95543593174728,-35.026568979488594,0.0375088822414171,-0.0841984831237704,-0.2481115628035668,-1.310421011653513,-0.00040541105033261264,-0.0031500505087824,0.4428104575163398,0.3725961538461538,272,341,6,10,0,-69
1999,Cincinnati Bengals,0.4983108108108109,3178,1971,5.368243243243242,4.626760563380282,0,,0,,592,426,18,5,3,-62.30835831105575,-15.933835940272132,-0.1052506052551619,-0.0374033707518124,-1.696911610838032,-0.9934468974688326,-0.0028664047480372,-0.0023320349705841,0.4070945945945945,0.3920187793427228,0.5605786618444847,3784,1699,6.84267631103074,3.8438914027149327,0,,0,,553,442,12,4,8,90.2180895422851,-50.29907703421733,0.1631430190638067,-0.113798816819496,0.2926724087849122,-1.715225947232069,0.0005292448621788618,-0.0038806016905702,0.4647377938517178,0.3665158371040724,283,460,4,12,0,-177
1999,Cleveland Browns,0.4890109890109889,2574,1140,4.714285714285712,3.6655948553054674,0,,35,11.666666666666666,546,311,14,5,3,-75.87258138834271,-34.26259068477323,-0.1389607717735219,-0.1101691018802997,-1.9662442356409189,-1.4282730565870363,-0.0036011799187562,-0.0045925178668393,0.3424908424908424,0.3569131832797426,0.598901098901099,3226,2686,5.9084249084249105,4.5993150684931505,0,,8,8.0,546,584,8,6,5,78.53581376956801,28.97303311888193,0.1438384867574506,0.0496113580802774,1.209454504394005,-0.3745562616661428,0.0022151181399157,-0.0006413634617570947,0.4908424908424907,0.4486301369863014,217,437,2,14,0,-220
1999,Dallas Cowboys,0.5598455598455598,3083,2054,5.95173745173745,4.288100208768266,0,,0,,518,479,12,3,7,9.831819942430975,-26.48951190938265,0.0189803473792105,-0.0553016950091496,-1.4516758979179785,-1.1922702380474304,-0.0028024631233937,-0.0024890819165917,0.3841698841698843,0.4070981210855949,0.5122377622377622,3326,1417,5.814685314685315,3.533665835411472,0,,0,0.0,572,401,23,3,5,-42.16217554208816,-58.4553647818413,-0.0737100971015523,-0.1457739770120729,-2.07665350049443,-0.2598053054377902,-0.0036305131127524,-0.0006478935297700699,0.3916083916083915,0.3640897755610974,352,276,8,8,0,76
1999,Denver Broncos,0.5459272097053727,3378,1852,5.854419410745232,4.052516411378553,0,,9,3.0,577,457,18,4,5,-12.975693700684923,-36.690377656195565,-0.0224882039873222,-0.080285290276139,-2.6412882379708233,-1.977458312808086,-0.0045776225961366,-0.0043270422599739,0.4280762564991334,0.3676148796498907,0.5265225933202359,2977,1742,5.848722986247546,4.108490566037736,0,,0,,509,424,15,5,3,-33.97077690677169,-33.191092363150936,-0.0667402296793159,-0.0782808782149785,-2.39860278072822,-2.666748208333727,-0.0047123826733363,-0.0062895004913531,0.4223968565815324,0.3584905660377359,314,318,6,10,0,-4
